provID,ra,dec,obsTime,stn,rmsRA,rmsDec,rmsTime,rmsCorr,uncTime
2002 FJ36,187.6303558,6.6878412,2025-04-25T02:49:39.558Z,X05,0.0054,0.0055,,-0.0952,
2002 FJ36,187.6299406,6.6879984,2025-04-25T02:53:20.431Z,X05,0.0041,0.0043,,0.0654,
2002 FJ36,187.629523,6.6881577,2025-04-25T02:57:03.274Z,X05,0.0041,0.0042,,0.0012,
2002 FJ36,187.6293615,6.6882231,2025-04-25T02:58:31.989Z,X05,0.0049,0.0048,,0.0024,
2002 FJ36,187.6280274,6.6887196,2025-04-25T03:10:22.604Z,X05,0.0037,0.0041,,-0.0430,
2002 FJ36,187.6279426,6.6887447,2025-04-25T03:11:07.281Z,X05,0.0040,0.0046,,-0.1127,
2002 FJ36,187.6277776,6.6888152,2025-04-25T03:12:36.057Z,X05,0.0046,0.0044,,0.0676,
2002 FJ36,187.6273908,6.688947,2025-04-25T03:16:05.110Z,X05,0.0052,0.0054,,0.0376,
2002 FJ36,187.6273052,6.6889812,2025-04-25T03:16:48.941Z,X05,0.0049,0.0056,,0.0925,
2002 FJ36,187.626969,6.6891089,2025-04-25T03:19:48.005Z,X05,0.0049,0.0049,,-0.0009,
2002 FJ36,187.626728,6.6892028,2025-04-25T03:21:56.810Z,X05,0.0042,0.0053,,-0.0243,
2002 FJ36,187.6265651,6.6892659,2025-04-25T03:23:25.569Z,X05,0.0044,0.0048,,-0.0387,
2002 FJ36,187.625474,6.6896678,2025-04-25T03:33:07.438Z,X05,0.0048,0.0054,,-0.0995,
2002 FJ36,187.6253906,6.6896987,2025-04-25T03:33:51.200Z,X05,0.0047,0.0052,,-0.1447,
2002 FJ36,187.6201738,6.6916528,2025-04-25T04:20:27.000Z,X05,0.0058,0.0054,,0.0877,
2002 FJ36,187.6200927,6.6916883,2025-04-25T04:21:10.978Z,X05,0.0038,0.0041,,-0.1399,
2002 FJ36,187.6198816,6.6917601,2025-04-25T04:23:03.471Z,X05,0.0043,0.0045,,-0.2081,
2002 FJ36,187.6197068,6.6918254,2025-04-25T04:24:37.802Z,X05,0.0057,0.0056,,-0.1176,
2002 FJ36,187.6196228,6.6918589,2025-04-25T04:25:21.875Z,X05,0.0063,0.0061,,-0.0805,
2002 FJ36,187.6194576,6.6919191,2025-04-25T04:26:52.301Z,X05,0.0063,0.0062,,-0.0079,
2002 FJ36,187.6187782,6.6921815,2025-04-25T04:32:58.084Z,X05,0.0065,0.0062,,0.0192,
2002 FJ36,187.6178536,6.6925099,2025-04-25T04:41:17.139Z,X05,0.0687,0.0692,,-0.0212,
2002 FJ36,187.6176434,6.6925842,2025-04-25T04:43:04.206Z,X05,0.0688,0.0635,,-0.2593,
2002 FJ36,187.6175578,6.692655,2025-04-25T04:43:56.115Z,X05,0.0885,0.0815,,-0.1604,
2002 FJ36,187.1906179,6.8542379,2025-04-28T03:15:15.759Z,X05,0.0052,0.0050,,-0.0061,
2002 FJ36,187.1905471,6.8542637,2025-04-28T03:15:57.879Z,X05,0.0052,0.0053,,0.0017,
2002 FJ36,187.190405,6.854311,2025-04-28T03:17:21.497Z,X05,0.0064,0.0058,,-0.0060,
2002 FJ36,187.190262,6.8543614,2025-04-28T03:18:45.849Z,X05,0.0056,0.0055,,-0.0009,
2002 FJ36,187.1901206,6.8544097,2025-04-28T03:20:09.812Z,X05,0.0051,0.0058,,-0.0211,
2002 FJ36,187.1899043,6.8544808,2025-04-28T03:22:16.976Z,X05,0.0064,0.0057,,0.0229,
2002 FJ36,187.1898356,6.8545053,2025-04-28T03:22:58.526Z,X05,0.0049,0.0051,,-0.0063,
2002 FJ36,187.1896943,6.8545534,2025-04-28T03:24:23.206Z,X05,0.0052,0.0051,,0.0046,
