provID,csq,ndof,state,epoch,cov,niter
29505,497.7028364278637,4454,"[3.1763861220045215, -0.11834869462122811, 0.2837847232419148, -0.0007263520797648205, 0.008388528169598989, 0.0029183922262209644]",2460671.5919114207,"[2.1822498415e-314, 5.2150185312062e-310, 5.21501774884813e-310, 2.416097426e-314, 0.0, 3.0157845915e-314, 2.1822874616e-314, 5.21501774884813e-310, 2.182416387e-314, 2.416097426e-314, 0.0, 5.21501774884813e-310, 2.4160974337e-314, 2.1822918648e-314, 2.182291839e-314, 5.2150185312062e-310, 2.416097426e-314, 5.21501774884813e-310, 0.0, 3.015784647e-314, 2.1822619916e-314, -2.77e-322, 2.416097426e-314, 0.0, 5.215018629215e-310, 5e-324, 0.0, 1.527e-321, 5.215017796163e-310, 5e-324, 5.2150185312062e-310, 0.0, 2.1591622705e-314, 3.015784702e-314, 2.1822917086e-314, 3.0157846705e-314]",3
71440,443.0184727504591,2726,"[-2.617328205433777, -1.0172257883279756, -0.6645439864904651, 0.004541122734260124, -0.008704157324131481, -0.004186757337442309]",2460468.673752013,"[2.1822498415e-314, 5.2150185358528e-310, 5.21501774884813e-310, 2.4151720606e-314, 0.0, 3.0157845915e-314, 2.1822874616e-314, 5.21501774884813e-310, 2.182416387e-314, 2.4151720606e-314, 0.0, 5.21501774884813e-310, 2.4151720686e-314, 2.1822918648e-314, 2.182291839e-314, 5.2150185358528e-310, 2.4151720606e-314, 5.21501774884813e-310, 0.0, 3.015784647e-314, 2.1822619916e-314, -2.77e-322, 2.4151720606e-314, 0.0, 5.21501862090206e-310, 5e-324, 0.0, 2.1562696426e-314, 5.215017796163e-310, 5e-324, 5.2150185358528e-310, 0.0, 2.415245032e-314, 3.015784702e-314, 2.1822917086e-314, 3.0157846705e-314]",3
81116,244.13298134191209,2226,"[2.6514361006039486, 0.5301464983515215, 0.08784454918545499, -0.0015456300705117248, 0.008994824829145646, 0.003607017108801743]",2460646.6123786704,"[2.1822498415e-314, 5.2150185346481e-310, 5.21501774884813e-310, 2.415262273e-314, 0.0, 3.0157845915e-314, 2.1822874616e-314, 5.21501774884813e-310, 2.182416387e-314, 2.415262273e-314, 0.0, 5.21501774884813e-310, 2.415262281e-314, 2.1822918648e-314, 2.182291839e-314, 5.2150185346481e-310, 2.415262273e-314, 5.21501774884813e-310, 0.0, 3.015784647e-314, 2.1822619916e-314, -2.77e-322, 2.415262273e-314, 0.0, 5.21501862135027e-310, 5e-324, 0.0, 2.1562696426e-314, 5.215017796163e-310, 5e-324, 5.2150185346481e-310, 0.0, 2.159290759e-314, 3.015784702e-314, 2.1822917086e-314, 3.0157846705e-314]",2
119839,216.43212828353953,1168,"[-1.6316191274017735, -1.9450939635626439, -1.2574702197370407, 0.008700951936462925, -0.005398863626846555, -0.0024738955549796]",2460460.8520607804,"[2.1822498415e-314, 5.21501853835713e-310, 5.21501774884813e-310, 2.4150181967e-314, 0.0, 3.0157845915e-314, 2.1822874616e-314, 5.21501774884813e-310, 2.182416387e-314, 2.4150181967e-314, 0.0, 5.21501774884813e-310, 2.4150182047e-314, 2.1822918648e-314, 2.182291839e-314, 5.21501853835713e-310, 2.4150181967e-314, 5.21501774884813e-310, 0.0, 3.015784647e-314, 2.1822619916e-314, -2.77e-322, 2.4150181967e-314, 0.0, 5.21501862630437e-310, 5e-324, 0.0, 2.1562696426e-314, 5.215017796163e-310, 5e-324, 5.21501853835713e-310, 0.0, 2.415244953e-314, 3.015784702e-314, 2.1822917086e-314, 3.0157846705e-314]",2
153134,187.76303161003764,1316,"[-2.5819146956178485, 1.8338830956775505, 0.3079968368041199, -0.004700331120495573, -0.006198111124655485, -0.0037803805194837428]",2460371.6866614856,"[2.1822498415e-314, 5.21501853620695e-310, 5.21501774884813e-310, 2.4150765993e-314, 0.0, 3.0157845915e-314, 2.1822874616e-314, 5.21501774884813e-310, 2.182416387e-314, 2.4150765993e-314, 0.0, 5.21501774884813e-310, 2.415076607e-314, 2.1822918648e-314, 2.182291839e-314, 5.21501853620695e-310, 2.4150765993e-314, 5.21501774884813e-310, 0.0, 3.015784647e-314, 2.1822619916e-314, -2.77e-322, 2.4150765993e-314, 0.0, 5.21501862090285e-310, 5e-324, 0.0, 2.1562696426e-314, 5.215017796163e-310, 5e-324, 5.21501853620695e-310, 0.0, 2.159163061e-314, 3.015784702e-314, 2.1822917086e-314, 3.0157846705e-314]",2
230891,172.001732473457,1168,"[-2.465106523076837, 0.609248536374265, 0.6034269655324026, -0.006348777487769743, -0.00799089635536399, -0.004008846736680561]",2460407.904200278,"[2.1822498415e-314, 5.2150185304932e-310, 5.21501774884813e-310, 2.415076378e-314, 0.0, 3.0157845915e-314, 2.1822874616e-314, 5.21501774884813e-310, 2.182416387e-314, 2.415076378e-314, 0.0, 5.21501774884813e-310, 2.415076386e-314, 2.1822918648e-314, 2.182291839e-314, 5.2150185304932e-310, 2.415076378e-314, 5.21501774884813e-310, 0.0, 3.015784647e-314, 2.1822619916e-314, -2.77e-322, 2.415076378e-314, 0.0, 5.2150186221558e-310, 5e-324, 0.0, 2.1562696426e-314, 5.215017796163e-310, 5e-324, 5.2150185304932e-310, 0.0, 2.415245032e-314, 3.015784702e-314, 2.1822917086e-314, 3.0157846705e-314]",2
273032,77.87838166992216,750,"[3.319074080336251, 0.3540300657817533, -0.0018167976786281077, -0.0005843854603838091, 0.008693130926947337, 0.0020665342473790505]",2460613.79202876,"[2.1822498415e-314, 5.21501851588465e-310, 5.21501774884813e-310, 2.415147618e-314, 0.0, 3.0157845915e-314, 2.1822874616e-314, 5.21501774884813e-310, 2.182416387e-314, 2.415147618e-314, 0.0, 5.21501774884813e-310, 2.415147626e-314, 2.1822918648e-314, 2.182291839e-314, 5.21501851588465e-310, 2.415147618e-314, 5.21501774884813e-310, 0.0, 3.015784647e-314, 2.1822619916e-314, -2.77e-322, 2.415147618e-314, 0.0, 5.21501862135027e-310, 5e-324, 0.0, 2.1562696426e-314, 5.215017796163e-310, 5e-324, 5.21501851588465e-310, 0.0, 2.159290838e-314, 3.015784702e-314, 2.1822917086e-314, 3.0157846705e-314]",3
282624,92.65112817448275,852,"[-1.236292500938612, 1.675447989372956, 0.740032665229297, -0.00984616525236981, -0.006356557227004071, -0.0012209796661688005]",2460724.755950384,"[2.1822498415e-314, 5.21501853426547e-310, 5.21501774884813e-310, 2.4151444246e-314, 0.0, 3.0157845915e-314, 2.1822874616e-314, 5.21501774884813e-310, 2.182416387e-314, 2.4151444246e-314, 0.0, 5.21501774884813e-310, 2.4151444325e-314, 2.1822918648e-314, 2.182291839e-314, 5.21501853426547e-310, 2.4151444246e-314, 5.21501774884813e-310, 0.0, 3.015784647e-314, 2.1822619916e-314, -2.77e-322, 2.4151444246e-314, 0.0, 5.21501862298267e-310, 5e-324, 0.0, 2.1562696426e-314, 5.215017796163e-310, 5e-324, 5.21501853426547e-310, 0.0, 2.415244953e-314, 3.015784702e-314, 2.1822917086e-314, 3.0157846705e-314]",2
293699,181.5968999344782,796,"[-2.391250895778763, 1.4981894823308874, 0.8524712022538239, -0.007825609991207988, -0.004936464264282377, -0.003188430463593585]",2459986.8986537214,"[2.1822498415e-314, 5.21501853617533e-310, 5.21501774884813e-310, 2.415144393e-314, 0.0, 3.0157845915e-314, 2.1822874616e-314, 5.21501774884813e-310, 2.182416387e-314, 2.415144393e-314, 0.0, 5.21501774884813e-310, 2.415144401e-314, 2.1822918648e-314, 2.182291839e-314, 5.21501853617533e-310, 2.415144393e-314, 5.21501774884813e-310, 0.0, 3.015784647e-314, 2.1822619916e-314, -2.77e-322, 2.415144393e-314, 0.0, 5.2150186173701e-310, 5e-324, 0.0, 2.1562696426e-314, 5.215017796163e-310, 5e-324, 5.21501853617533e-310, 0.0, 2.1591622705e-314, 3.015784702e-314, 2.1822917086e-314, 3.0157846705e-314]",2
380443,24.91524074770863,366,"[2.4835922631969316, -0.705101337164632, -0.09696282707198571, 0.002534878623828197, 0.010077564361958155, 0.0035231545756706497]",2459491.824345437,"[2.1822498415e-314, 5.21501853920455e-310, 5.21501774884813e-310, 2.415224329e-314, 0.0, 3.0157845915e-314, 2.1822874616e-314, 5.21501774884813e-310, 2.182416387e-314, 2.415224329e-314, 0.0, 5.21501774884813e-310, 2.4152243367e-314, 2.1822918648e-314, 2.182291839e-314, 5.21501853920455e-310, 2.415224329e-314, 5.21501774884813e-310, 0.0, 3.015784647e-314, 2.1822619916e-314, -2.77e-322, 2.415224329e-314, 0.0, 5.215018625204e-310, 5e-324, 0.0, 2.1562696426e-314, 5.215017796163e-310, 5e-324, 5.21501853920455e-310, 0.0, 2.41515595e-314, 3.015784702e-314, 2.1822917086e-314, 3.0157846705e-314]",2
402065,93.50651442935404,1080,"[-2.2342898108251266, 1.9436116136019088, 0.7052427723563857, -0.007920270161667681, -0.002742865665816666, -0.005687041435717007]",2459631.8178713243,"[2.1822498415e-314, 5.2150185373453e-310, 5.21501774884813e-310, 2.415230147e-314, 0.0, 3.0157845915e-314, 2.1822874616e-314, 5.21501774884813e-310, 2.182416387e-314, 2.415230147e-314, 0.0, 5.21501774884813e-310, 2.415230155e-314, 2.1822918648e-314, 2.182291839e-314, 5.2150185373453e-310, 2.415230147e-314, 5.21501774884813e-310, 0.0, 3.015784647e-314, 2.1822619916e-314, -2.77e-322, 2.415230147e-314, 0.0, 5.2150186173701e-310, 5e-324, 0.0, 2.1562696426e-314, 5.215017796163e-310, 5e-324, 5.2150185373453e-310, 0.0, 2.159290759e-314, 3.015784702e-314, 2.1822917086e-314, 3.0157846705e-314]",2
